"Name", "Stars", "Forks", "Open_issues", "Subscribers"
"commons", 1325, 367, 99, 247,
"jmeter-plugins", 229, 188, 3, 46,
"bootstrap-sass", 12050, 3075, 33, 608,
"openstack-java-sdk", 155, 195, 69, 52,
"elephant-bird", 1035, 375, 75, 219,
"secureheaders", 2236, 154, 22, 196,
"torquebox", 483, 137, 35, 33,
"diplomat", 258, 89, 11, 15,
"cas-addons", 54, 26, 0, 29,
"twilio-java", 256, 224, 13, 77,
"thredds", 150, 141, 188, 46,
"legato", 378, 54, 10, 19,
"transitions", 494, 91, 7, 13,
"travis-yaml", 130, 69, 47, 15,
"jna", , , , ,
"pdfsam", 330, 55, 25, 32,
"chewy", 1111, 184, 37, 101,
"tailor", 149, 18, 74, 6,
"hbc", 687, 293, 43, 211,
"re-education", 87, 31, 0, 24,
"SMSSync", 548, 339, 80, 93,
"ethon", 74, 70, 21, 11,
"config", 2763, 434, 109, 167,
"cloudhopper-smpp", 328, 227, 28, 191,
"hologram", 2025, 205, 46, 137,
"twitter-cldr-rb", 521, 63, 7, 146,
"active-rest-client", 384, 45, 21, 89,
"websocket-rails", 1663, 278, 202, 59,
"twilio-ruby", 971, 304, 16, 89,
"recyclerview-animators", 6092, 1305, 73, 277,
"logging", 421, 78, 4, 8,
"Jently", 92, 22, 5, 3,
"core", 263, 212, 2, 21,
"vcr", 3485, 368, 81, 58,
"gimli", 500, 38, 14, 9,
"hraven", 115, 54, 33, 151,
"typhoeus", 3068, 345, 66, 50,
"typus", 1128, 244, 64, 22,
"WinRM", 293, 93, 16, 28,
"validator", 423, 89, 58, 46,
"sqlite-jdbc", 618, 168, 45, 68,
"volt", 3324, 213, 73, 176,
"es", 1448, 1435, 31, 374,
"hcl", 169, 28, 8, 11,
"csscss", 2927, 150, 16, 91,
"Android-Password-Store", 640, 66, 75, 46,
"samson", 932, 177, 57, 258,
"zt-exec", 315, 39, 10, 37,
"transpec", 893, 36, 6, 19,
"vk-ruby", 151, 32, 3, 11,
"shopify_app", 588, 255, 27, 217,
"nokogiri", 4397, 617, 158, 138,
"randumb", 201, 24, 2, 4,
"shipit-engine", 526, 46, 32, 167,
"android-times-square", 3737, 1102, 43, 256,
"skylight-ruby", 137, 48, 19, 12,
"cathode", 87, 6, 8, 11,
"straight-server", 113, 22, 1, 14,
"virtus", 3465, 216, 61, 75,
"shopify_api", 398, 191, 43, 209,
"picasso", 13408, 3533, 179, 950,
"springside4", 4684, 2970, 53, 1060,
"android-menudrawer", 2668, 1254, 25, 281,
"scout", 51, 28, 35, 16,
"moshi", 2757, 202, 32, 148,
"restheart", 324, 86, 4, 37,
"mysql-binlog-connector-java", 405, 161, 22, 74,
"gepub", 143, 24, 16, 11,
"dagger", 6148, 1898, 61, 438,
"less4j", 131, 37, 43, 18,
