"Name", "Stars", "Forks", "Open_issues"
"codemod", 1323, 111, 7,
"hhvm", 14496, 2657, 754,
"xhp-lib", 1169, 146, 6,
"pyre2", 314, 94, 0,
"open-graph-protocol", 288, 83, 6,
"facebook-android-sdk", 4120, 2386, 3,
"facebook-ios-sdk", 5740, 2287, 22,
"pfff", 1948, 168, 32,
"php-webdriver", 1669, 480, 9,
"SocketRocket", 6732, 1373, 72,
"swift", 663, 250, 60,
"nifty", 676, 257, 26,
"folly", 8484, 2084, 41,
"jcommon", 477, 172, 4,
"sparts", 251, 40, 33,
"facebook-oss-pom", 16, 13, 0,
"caf8teen", 29, 12, 0,
"watchman", 5355, 428, 28,
"rocksdb", 7506, 1604, 435,
"FBMock", 158, 35, 0,
"libphenom", 1467, 342, 5,
"chef-utils", 212, 56, 1,
"mysql-5.6", 914, 323, 86,
"giraph", 30, 19, 0,
"buck", 4527, 706, 260,
"xctool", 6316, 719, 11,
"emitter", 474, 61, 1,
"hblog", 92, 27, 4,
"react", 65382, 12112, 656,
"fbthrift", 1012, 270, 56,
"fishhook", 1667, 257, 12,
"glusterfs", 26, 13, 0,
"react-devtools", 3925, 503, 59,
"pyaib", 293, 54, 0,
"ios-snapshot-test-case", 2394, 238, 33,
"regenerator", 1908, 188, 45,
"rebound", 4385, 773, 22,
"treadmill", 37, 13, 0,
"easymock", 41, 19, 0,
"jest", 9456, 1151, 130,
"puewue-backend", 99, 25, 1,
"puewue-frontend", 143, 36, 0,
"mcrouter", 1916, 310, 25,
"conceal", 2243, 370, 15,
"planout", 1056, 136, 8,
"bistro", 242, 35, 2,
"shortcuts-for-framer", 411, 43, 0,
"liblogfaf", 319, 47, 0,
"Shimmer", 7729, 971, 9,
"chisel", 5848, 507, 30,
"facebook-clang-plugins", 261, 41, 0,
"KVOController", 5579, 657, 4,
"Specs", 9, 12, 0,
"Tweaks", 4552, 392, 16,
"IT-CPE", 226, 53, 8,
"augmented-traffic-control", 3511, 501, 19,
"pop", 17573, 2779, 41,
"Haxl", 2654, 226, 4,
"yoga", 7361, 491, 40,
"php-graph-sdk", 1584, 845, 38,
"proguard", 469, 91, 0,
"pose-aligned-deep-networks", 71, 42, 3,
"fb-adb", 913, 88, 13,
"tac_plus", 63, 27, 0,
"facebook-php-ads-sdk", 265, 224, 35,
"thpp", 190, 69, 23,
"AsyncDisplayKit", 11378, 2048, 174,
"immutable-js", 18408, 1008, 75,
"fblualib", 535, 153, 57,
"flux", 13708, 3580, 10,
"wdt", 1763, 266, 55,
"rebound-js", 1291, 97, 8,
"dfuse", 36, 14, 5,
"osquery", 8271, 989, 118,
"jsx", 665, 50, 30,
"facebook-python-ads-sdk", 331, 222, 61,
"grocery-delivery", 91, 22, 4,
"taste-tester", 90, 33, 5,
"between-meals", 29, 22, 4,
"fbpca", 177, 39, 0,
"fatal", 623, 93, 1,
"proxygen", 4778, 942, 17,
"powermock", 31, 11, 0,
"ds2", 163, 41, 13,
"flow", 11434, 910, 1235,
"fbnn", 220, 39, 5,
"fbcunn", 1066, 261, 34,
"wangle", 1603, 243, 18,
"fbcuda", 202, 42, 1,
"fbtorch", 37, 12, 5,
"react-native", 47564, 11080, 1407,
"iTorch", 1023, 152, 68,
"stetho", 7480, 705, 55,
"zstd", 4956, 430, 27,
"infer", 6624, 884, 106,
"mysqlclient-python", 48, 23, 0,
"fixed-data-table", 3767, 538, 227,
"libafdt", 33, 19, 0,
"FBFetchedResultsController", 368, 27, 0,
"ThreatExchange", 255, 87, 9,
"shimmer-android", 1981, 372, 21,
"nuclide", 6532, 509, 263,
"fresco", 12529, 3307, 313,
"device-year-class", 1508, 165, 7,
"jscodeshift", 1953, 112, 40,
"openbmc", 245, 84, 10,
"fboss", 344, 95, 13,
"network-connection-class", 2118, 356, 15,
"componentkit", 3838, 436, 21,
"Stack-RNN", 348, 70, 0,
"C3D", 321, 218, 18,
"react-native-applinks", 233, 11, 2,
"PathPicker", 3310, 204, 4,
"CParser", 82, 14, 0,
"gnlpy", 93, 19, 1,
"fbjs", 810, 128, 32,
"eyescream", 487, 103, 3,
"FLAnimatedImage", 134, 28, 0,
"fbpush", 42, 6, 0,
"graphql", 4871, 296, 83,
"android-jsc", 80, 17, 4,
"react-native-fbsdk", 1230, 216, 11,
"ztorch", 34, 6, 6,
"luaffifb", 77, 33, 9,
"Recipes-for-AutoPkg", 30, 9, 0,
"relay", 8654, 715, 124,
"fbkutils", 131, 10, 0,
"screenshot-tests-for-android", 737, 89, 22,
"facebook-sdk-for-unity", 108, 74, 26,
"WebDriverAgent", 794, 210, 26,
"FBSimulatorControl", 1909, 172, 26,
"ocpjbod", 3, 0, 0,
"dataloader", 2412, 83, 9,
"homebrew-fb", 40, 17, 2,
"bAbI-tasks", 419, 93, 1,
"MemNN", 1048, 228, 1,
"xcbuild", 1271, 89, 36,
"Conditional-character-based-RNN", 72, 27, 2,
"robolectric", 22, 9, 0,
"SoLoader", 245, 33, 2,
