"Name", "Stars", "Forks", "Open_issues", "Subscribers"
"squeel", 2310, 201, 87, 59,
"kaminari", , , , ,
"albacore", 214, 69, 21, 16,
"flink", 2292, 1617, 219, 309,
"action_args", 322, 16, 2, 19,
"appsly-android-rest", 215, 52, 7, 47,
"groupdate", 2161, 144, 17, 39,
"classy_enum", , , , ,
"adhearsion", 537, 104, 57, 44,
"drill", 788, 541, 138, 151,
"android-common", 146, 50, 2, 21,
"koala", 3201, 438, 25, 96,
"batch_api", 244, 40, 16, 9,
"AsciidocFX", 630, 107, 87, 76,
"babushka", 754, 102, 0, 13,
"AcDisplay", 707, 219, 69, 58,
"lhm", 1400, 139, 33, 150,
"nerve", 765, 116, 14, 179,
"gistub", 237, 36, 3, 27,
"supernode", 107, 40, 2, 21,
"searchkick", 3560, 408, 66, 84,
"aws-sdk-java", 1952, 1449, 94, 259,
"cakebox", 109, 21, 15, 13,
"avoinministerio", 96, 51, 62, 11,
"storm", 4146, 3072, 156, 621,
"LittleProxy", 877, 400, 51, 95,
"airlift", 199, 106, 47, 35,
"powerpack", 227, 15, 4, 8,
"mongoid-history", , , , ,
"CLAVIN", 186, 76, 27, 54,
"awestruct", 246, 75, 59, 15,
"gman", 98, 61, 3, 10,
"riak-java-client", 258, 151, 14, 111,
"qu", 515, 52, 11, 8,
"azkaban", 1148, 592, 304, 168,
"azure-activedirectory-library-for-android", 85, 65, 28, 75,
"r18n", 491, 69, 8, 12,
"stream-lib", 1567, 413, 23, 201,
"mongomapper", 1629, 398, 74, 34,
"nyny", 274, 15, 1, 14,
"vagrant-berkshelf", 389, 98, 18, 30,
"elephant-bird", 1035, 375, 75, 219,
"net-http-persistent", 195, 74, 32, 9,
"synapse", 1640, 226, 49, 212,
"knapsack", 218, 47, 2, 4,
"gusteau", 69, 18, 7, 55,
"jenkins_api_client", 309, 176, 53, 17,
"java-repl", 1117, 163, 13, 56,
"asciidoctor", 1364, 300, 558, 100,
"stubby4j", 196, 64, 2, 25,
"jsonapi", 218, 97, 48, 22,
"asciinema.org", 1023, 108, 25, 33,
"activewarehouse-etl", 232, 114, 68, 23,
"database_cleaner", 2058, 393, 98, 38,
"asciidoctor-diagram", 135, 32, 13, 20,
"nobrainer", 370, 53, 15, 18,
"maid", 1391, 60, 47, 56,
"vanity", 1338, 280, 29, 18,
"bike_index", 124, 29, 52, 20,
"sensu-community-plugins", 507, 727, 0, 72,
"dmix", 480, 180, 144, 56,
"geocoder", 4493, 901, 59, 107,
"fat_free_crm", 2885, 1116, 71, 143,
"sshkey", 187, 28, 1, 8,
"homebrew-bundle", 1341, 79, 0, 42,
"autoprefixer-rails", 986, 50, 1, 15,
"percheron", 156, 6, 0, 6,
"librarian", 687, 68, 43, 28,
"azure-sdk-for-ruby", 164, 175, 52, 54,
"leaderboard", 418, 56, 1, 31,
"rubocop", 7621, 1316, 220, 188,
"platform", 107, 61, 6, 23,
"Lightning-Browser", 814, 448, 242, 116,
"basex", 288, 197, 33, 60,
"word-to-markdown", 749, 84, 1, 28,
"twilio-java", 256, 222, 10, 78,
"Google-Maps-for-Rails", 2228, 388, 26, 101,
"active_model_serializers", 4169, 1161, 157, 113,
"tunemygc", 292, 16, 11, 12,
"table_print", 531, 38, 20, 14,
"authlogic", 3965, 561, 110, 56,
"parse-ruby-client", 428, 145, 23, 18,
"heaven", 584, 125, 2, 24,
"active_decorator", 629, 80, 11, 34,
"naught", 979, 52, 8, 29,
"bitcoinj", 1128, 877, 199, 175,
"active_attr", 966, 61, 53, 29,
"garethr-docker", 379, 513, 160, 47,
"serif", 122, 11, 6, 7,
"slice", 229, 52, 5, 43,
"traccar", 918, 791, 1181, 165,
"jmonkeyengine", 1401, 525, 137, 207,
"activejpa", 130, 38, 4, 19,
"stamp", 945, 20, 4, 8,
"activeadmin", 7320, 2648, 186, 219,
"active_scaffold", 923, 306, 26, 28,
"hashie", 2225, 253, 34, 43,
"monetize", 167, 66, 4, 18,
"versioncake", 495, 30, 5, 11,
"imdb", 292, 131, 0, 21,
"micro-server", 740, 171, 47, 130,
"flatten_record", 88, 8, 5, 5,
"chef-docker", , , , ,
"bump", 76, 30, 4, 4,
"aws-sdk-ruby", 2314, 743, 23, 154,
"android-wail-app", 129, 36, 57, 19,
"balanced-ruby", 115, 51, 21, 8,
"ransack", 3310, 518, 114, 87,
"redis-doc", 887, 717, 52, 97,
"hraven", 115, 54, 33, 151,
"py4j", 307, 69, 59, 33,
"blacklight", 490, 183, 89, 67,
"video_info", 275, 112, 7, 22,
"magickly", 182, 35, 14, 6,
"tajo", 95, 96, 37, 16,
"napa", 342, 77, 15, 27,
"morphia", 106, 27, 27, 32,
"jekyll-auth", 469, 63, 11, 11,
"jackrabbit-oak", 196, 217, 37, 56,
"cloudhopper-smpp", 328, 226, 28, 191,
"jobsworth", 591, 204, 40, 47,
"biojava", 185, 178, 67, 57,
"gpslogger", 718, 340, 40, 110,
"parse_resource", 253, 108, 34, 11,
"twilio-ruby", 970, 302, 35, 90,
"berkshelf-api", 79, 71, 23, 19,
"thredds", 150, 141, 189, 46,
"sling", 199, 249, 45, 40,
"intellij-elixir", 646, 41, 105, 25,
"attr_encrypted", 1224, 172, 39, 41,
"hbc", 686, 291, 43, 212,
"config", 2680, 424, 108, 167,
"helpful-web", 176, 111, 10, 17,
"commons", 1320, 366, 100, 248,
"wraith", 3988, 264, 55, 178,
"fake_dynamo", 147, 35, 3, 13,
"cas-addons", 54, 26, 0, 29,
"HearthSim", 289, 67, 21, 20,
"docker-maven-plugin", 5, 5, 0, 4,
"Jently", 92, 22, 5, 4,
"dotenv", 4009, 270, 8, 51,
"calabash-ios", 1539, 348, 77, 131,
"versionist", 847, 40, 7, 15,
"ark", , , , ,
"activerecord-typedstore", 103, 24, 9, 10,
"zeus", 3142, 195, 103, 64,
"bostonrb", 212, 71, 12, 20,
"bugsnag-android", 485, 115, 7, 43,
"omnibus", 868, 215, 67, 114,
"minitest-rails", 439, 103, 6, 13,
"puppet-boxen", 75, 110, 6, 9,
"elastictastic", 90, 12, 10, 36,
"rabl-rails", 187, 48, 13, 7,
"reckon", 261, 36, 16, 14,
"celluloid-zmq", 86, 26, 4, 16,
"tubaina", 81, 33, 13, 34,
"jsonapi-resources", 1776, 352, 263, 70,
"textizen", 67, 22, 11, 49,
"puppet-osx", 106, 101, 24, 21,
"DDT", , , , ,
"Hanlon", , , , ,
"tephra", 151, 40, 2, 80,
"overcommit", 1897, 148, 24, 84,
"mysql2", 1600, 354, 48, 62,
"impressionist", 1006, 229, 72, 30,
"page-object", 533, 189, 37, 82,
"datagrid", 754, 93, 7, 26,
"bnd", 270, 172, 61, 40,
"awesome_nested_set", 1941, 417, 90, 53,
"vraptor", 400, 229, 29, 61,
"better_errors", 6130, 395, 67, 192,
"invoker", 379, 37, 25, 27,
"cloud_controller_ng", 96, 248, 18, 165,
"Bolts-Android", 3160, 466, 14, 226,
"cancancan", 3511, 342, 50, 93,
"bugsnag-ruby", 135, 114, 15, 13,
"browsercms", 1213, 1186, 317, 60,
"rbnacl", 633, 47, 6, 32,
"carrierwave", 7471, 1327, 152, 152,
"follow-all", 83, 29, 11, 86,
"trailmix", 390, 63, 2, 28,
"testng", 824, 591, 392, 140,
"ci_reporter", 332, 111, 12, 12,
"interactor", 1613, 93, 12, 53,
"ceph-cookbook", 84, 114, 46, 87,
"clocker", 413, 64, 55, 40,
"vagrant-butcher", 129, 12, 4, 4,
"rack-cors", 2008, 172, 38, 41,
"picard", 262, 195, 68, 120,
"codetriage", 666, 199, 39, 46,
"celluloid", 3524, 255, 62, 115,
"vraptor4", 318, 297, 45, 91,
"simplecov", 2994, 316, 45, 60,
"camping", 570, 74, 23, 32,
"glide", 15231, 3143, 295, 845,
"pageflow", 513, 89, 15, 34,
"comfortable-mexican-sofa", 2122, 521, 97, 79,
"SmoothProgressBar", 3615, 996, 21, 195,
"bndtools", 185, 95, 203, 28,
"uaa", 568, 469, 98, 179,
"AsakusaSatellite", 91, 16, 7, 11,
"HikariCP", 4526, 674, 22, 374,
"airborne", 911, 106, 42, 25,
"choco3", , , , ,
"chef", 4817, 2006, 543, 411,
"celluloid-io", 883, 88, 31, 57,
"colorize", 727, 89, 4, 15,
"BuildCraft", 945, 458, 81, 241,
"annotate_models", 2547, 325, 57, 40,
"redstorm", 314, 60, 40, 20,
"reel", 612, 84, 44, 27,
"adopt-a-hydrant", 374, 264, 31, 72,
"crawljax", 351, 186, 73, 64,
"audited", 1826, 410, 86, 39,
"github-markdown-preview", 105, 12, 0, 7,
"mamute", 273, 137, 48, 58,
"cloudify", 325, 151, 3, 88,
"json_spec", 820, 104, 15, 25,
"boxen", 1595, 147, 20, 70,
"YCSB", 1584, 1030, 140, 163,
"checkstyle", 1959, 943, 340, 149,
"backbone-rails", 1690, 284, 54, 41,
"business_time", 706, 156, 15, 8,
"font-awesome-rails", 1491, 186, 1, 38,
"timers", , , , ,
"rails3-jquery-autocomplete", 968, 399, 75, 76,
"grocer", 1009, 121, 24, 27,
"android-gpuimage", 3659, 1272, 248, 295,
"javaslang", , , , ,
"Airesis", 95, 56, 8, 16,
"dry_crud", 108, 13, 0, 16,
"oryx", 1420, 415, 1, 274,
"pg_search", 1864, 224, 106, 52,
"spark-dataflow", 317, 59, 4, 54,
"webmagic", 4434, 2377, 118, 625,
"monologue", 479, 192, 20, 21,
"rapidash", 151, 17, 1, 2,
"dcell", 622, 62, 13, 37,
"concerto", 211, 80, 47, 44,
"intellij-haskforce", 365, 27, 83, 37,
"rack-attack", 3226, 177, 23, 161,
"huginn", , , , ,
"citygram", 146, 76, 27, 32,
"formotion", 638, 107, 22, 37,
"warden", 281, 118, 0, 157,
"toshi", 857, 208, 100, 94,
"connectbot", 824, 357, 139, 102,
"calagator", 334, 214, 45, 33,
"warbler", 786, 175, 66, 35,
"hipchat-rb", 344, 188, 17, 31,
"que", 1099, 71, 22, 30,
"compass-rails", 607, 243, 3, 24,
